きる	切る	To Cut	vocabulary	きる, 切: き: kun	transitive verb, godan verb
すくない	少ない	A Few	vocabulary	すくない, 少: すく: kun	い adjective
とめる	止める	To Stop Something	vocabulary	とめる, 止: と: kun	transitive verb, ichidan verb
おとうさん	お父さん	Father	vocabulary	おとうさん, 父: とう: kun	noun
じゅうだい	十台	Ten Machines	vocabulary	じゅうだい, 十: じゅう: on, 台: だい: on	noun
はずれ	外れ	Extremity	vocabulary	はずれ, 外: はず: kun	noun, suffix
はずれる	外れる	To Be Disconnected	vocabulary	はずれる, 外: はず: kun	intransitive verb, ichidan verb
もちいる	用いる	To Utilize	vocabulary	もちいる, 用: もち: kun	transitive verb, ichidan verb
こうよう	公用	Government Business	vocabulary	こうよう, 公: こう: on, 用: よう: on	noun
や	矢	Arrow	vocabulary	や, 矢: や: kun	noun
いぎりすじん	イギリス人	British Person	vocabulary	いぎりすじん, 人: じん: on, &emsp;イギリスじん, 人: じん: on	noun
にん	〜人	Number Of People	vocabulary	にん, 人: にん: on	counter
しょうじょ	少女	Girl	vocabulary	しょうじょ, 少: しょう: on, 女: じょ: on, &emsp;おとめ: exception	noun
おとなしい	大人しい	Obedient	vocabulary	おとなしい: exception	い adjective
と	戸	Japanese Style Door	vocabulary	と, 戸: と: kun	noun
あめりかじん	アメリカ人	American	vocabulary	あめりかじん, 人: じん: on, &emsp;アメリカじん, 人: じん: on	noun
ふらんすじん	フランス人	Frenchman	vocabulary	ふらんすじん, 人: じん: on, &emsp;フランスじん, 人: じん: on	noun
うまれる	生まれる	To Be Born	vocabulary	うまれる, 生: う: kun	intransitive verb, ichidan verb
いちまん	一万	Ten Thousand	vocabulary	いちまん, 一: いち: on, 万: まん: on	numeral
にまん	二万	Twenty Thousand	vocabulary	にまん, 二: に: on, 万: まん: on	numeral
いま	今	Now	vocabulary	いま, 今: いま: kun	noun
こんげつ	今月	This Month	vocabulary	こんげつ, 今: こん: on, 月: げつ: on	noun
わかる	分かる	To Understand	vocabulary	わかる, 分: わ: kun	intransitive verb, godan verb
ふん	分	Minute	vocabulary	ふん, 分: ふん: on, &emsp;ぶん, 分: ぶん: on	noun, prefix, suffix
ゆうじん	友人	Friend	vocabulary	ゆうじん, 友: ゆう: on, 人: じん: on	noun
ふとる	太る	To Get Fat	vocabulary	ふとる, 太: ふと: kun	intransitive verb, godan verb
すこし	少し	A Little	vocabulary	すこし, 少: すこ: kun	adverb, noun
ひく	引く	To Pull	vocabulary	ひく, 引: ひ: kun	intransitive verb, transitive verb, godan verb
こころ	心	Heart	vocabulary	こころ, 心: こころ: kun	noun
とぐち	戸口	Doorway	vocabulary	とぐち, 戸: と: kun, 口: ぐ: on	noun
かた	方	Way	vocabulary	かた, 方: かた: kun, &emsp;ほう, 方: ほう: on	noun
とまる	止まる	To Stop	vocabulary	とまる, 止: と: kun	intransitive verb, godan verb
ちち	父	Father	vocabulary	ちち, 父: ちち: kun	noun
うし	牛	Cow	vocabulary	うし, 牛: うし: kun	noun
ふゆ	冬	Winter	vocabulary	ふゆ, 冬: ふゆ: kun	noun
きた	北	North	vocabulary	きた, 北: きた: kun	noun
はん	半	Half	vocabulary	はん, 半: はん: on	noun, prefix
ちゅうこ	中古	Secondhand	vocabulary	ちゅうこ, 中: ちゅう: on, 古: こ: on	noun, の adjective
いちだい	一台	One Machine	vocabulary	いちだい, 一: いち: on, 台: だい: on	noun
にだい	二台	Two Machines	vocabulary	にだい, 二: に: on, 台: だい: on	noun
ごだい	五台	Five Machines	vocabulary	ごだい, 五: ご: on, 台: だい: on	noun
そと	外	Outside	vocabulary	そと, 外: そと: kun	noun
がいじん	外人	Foreigner	vocabulary	がいじん, 外: がい: on, 人: じん: on	noun
